D,D,D,D,D,D,D,D
7.64620816520999e-09,4.664448208199777e-09,6.38351095564281e-09,1.4625937783380064e-08,9.297559165928288e-09,1.1748331219268713e-08,1.8943810624712e-08,1.3269447038083192e-08
7.4649670851565e-09,4.565038057580926e-09,6.201196304613242e-09,1.28704489070291e-08,8.605118377237232e-09,1.137843681189838e-08,1.6759972144699932e-08,1.2507890739857073e-08
7.297784577236969e-09,4.472805757780876e-09,6.031053693328242e-09,1.1466184519833476e-08,8.002487180786117e-09,1.1036023439271736e-08,1.5008873493246146e-08,1.1826045678156634e-08
7.143930961773247e-09,4.387663468687258e-09,5.872732993075374e-09,1.0320560649382788e-08,7.474971160499917e-09,1.0719551072652241e-08,1.3576573316378733e-08,1.1213466440934755e-08
7.002728421396349e-09,4.309526302420144e-09,5.725904264342856e-09,9.371053630518469e-09,7.010979162108553e-09,1.0427609487938852e-08,1.2386026313966118e-08,1.0661499279044272e-08
6.873546473715734e-09,4.238312200258949e-09,5.590256322027665e-09,8.573916006068309e-09,6.601245167031249e-09,1.0158904871093468e-08,1.1383267273940662e-08,1.01629137547636e-08
6.7557979102241835e-09,4.173941815782957e-09,5.465495421786966e-09,7.8976204804319e-09,6.238273118312042e-09,9.912248049753007e-09,1.0529370735533075e-08,9.711621677841083e-09
6.648935146220512e-09,4.116338403727974e-09,5.3513440548874495e-09,7.318871554647898e-09,5.915933567889821e-09,9.68654412378194e-09,9.795552904988708e-09,9.302460113475165e-09
6.552446934140169e-09,4.065427714251652e-09,5.2475398419170175e-09,6.8200834934577e-09,5.629165818434476e-09,9.480783304751915e-09,9.160070738184752e-09,8.931022045892281e-09
6.4658553985230475e-09,4.021137892331772e-09,5.153834515495292e-09,6.387731987657795e-09,5.3737547146495095e-09,9.294032803692006e-09,8.606193219992909e-09,8.593522918247172e-09
6.388713356868032e-09,3.983399381999205e-09,5.0699929842536545e-09,6.011245672075207e-09,5.146161132099572e-09,9.125429628948829e-09,8.120835889294841e-09,8.286694483642608e-09
6.320601894264575e-09,3.952144835085593e-09,4.9957924699978165e-09,5.682241896616957e-09,4.943391673665701e-09,8.974174177715588e-09,7.6936187073195e-09,8.007699661699302e-09
6.261128164671085e-09,3.9273090243620525e-09,4.931021712157816e-09,5.393988158450099e-09,4.762897386106899e-09,8.83952452096464e-09,7.316201668509804e-09,7.754063706232488e-09
6.209923394059901e-09,3.908828760634149e-09,4.875480232814025e-09,5.141015102335273e-09,4.602494226393788e-09,8.720791295493749e-09,6.981807100871297e-09,7.523618151120269e-09
